Субъект РФ;Год;Среднегодовая численность занятых (тыс. чел);Численность безработных (тыс. чел);Численность незанятых граждан, состоящих на учете в органах службы занятости населения в целях поиска подходящей работы (тыс. чел)
Архангельская область;2004;601.4;49;21.6
в том числе: ;2004;0;0;0
Ненецкий автономный округ;2004;27.2;2;1.2
Архангельская область без автономного округа;2004;574.2;47;20.4
Вологодская область;2004;600.4;40;15.3
Калининградская область;2004;436.1;33;9.8
Ленинградская область;2004;733.6;62;11.4
Мурманская область;2004;434.5;54;22.6
Новгородская область;2004;314.9;21;7.4
Псковская область;2004;338.7;20;10.6
г. Санкт-Петербург;2004;2424.5;70;53.8
Южный             федеральный округ;2004;6031.4;651;117.1
Республика Адыгея;2004;154.2;33;9
Республика Калмыкия;2004;115.9;31;5
Республика Крым;2004;0;0;0
Краснодарский край;2004;2180.3;210;24.1
Астраханская область;2004;443.1;60;15.4
Волгоградская область;2004;1243.6;126;26.5
Ростовская область;2004;1894.4;192;37.1
г. Севастополь;2004;0;0;0
Северо-Кавказский        федеральный округ;2004;2766.3;642;541
Республика Дагестан;2004;826.5;300;54.3
Республика Ингушетия;2004;63.1;58;36
Кабардино-Балкарская Республика;2004;316.1;95;35.8
Карачаево-Черкесская Республика;2004;152.1;33;5.9
Республика Северная Осетия - Алания;2004;283.6;37;14.2
Чеченская Республика;2004;…;…;372.6
Ставропольский край;2004;1124.9;120;22.2
Приволжский федеральный округ;2004;14462.4;1226;304.4
Республика Башкортостан;2004;1788.9;140;37.3
Республика Марий Эл;2004;337.9;36;9.2
Республика Мордовия;2004;403;26;9.3
Республика Татарстан;2004;1754.3;138;30.1
Удмуртская Республика;2004;780.4;64;18.2
Чувашская Республика;2004;601.8;64;14.6
Пермский край;2004;1338.5;105;23.7
Кировская область;2004;705.7;69;31.6
Нижегородская область ;2004;1712.4;133;19.8
Оренбургская область;2004;1002.5;118;8.7
Пензенская область;2004;674.8;47;11.3
Самарская область;2004;1585.6;93;34.8
Саратовская область;2004;1172.1;128;30.7
Ульяновская область;2004;604.6;64;25.2
Уральский         федеральный округ;2004;6041.8;477;163.1
Курганская область;2004;432.1;61;14.2
Свердловская область ;2004;2088.5;171;53.1
Тюменская область;2004;1869.7;155;47.2
в том числе:;2004;0;0;0
Ханты-Мансийский автономный округ - Югра;2004;873.5;79;24.4
Ямало-Ненецкий автономный округ;2004;357.3;19;9.7
Тюменская область  без автономных округов;2004;638.9;57;13.2
Челябинская область;2004;1651.5;89;48.5
Сибирский        федеральный округ;2004;7987.6;853;335.5
Республика Алтай;2004;83.6;9;4.4
Республика Тыва;2004;103.7;26;14.2
Республика Хакасия;2004;240.1;27;11.3
Алтайский край;2004;1107.6;118;60.8
Красноярский край;2004;1420;128;71.6
Иркутская область;2004;1143.9;137;37
Кемеровская область;2004;1273.8;144;59.1
Новосибирская область ;2004;1205.3;121;24.5
Омская область;2004;935.5;89;28.1
Томская область;2004;474.2;54;24.4
Дальневосточный федеральный округ;2004;4111.8;443;162.5
Республика Бурятия;2004;384.6;68;12.1
Республика Саха (Якутия);2004;468.6;44;9.7
Забайкальский край;2004;471.2;66;15.3
Камчатский край;2004;181.8;21;9.4
Приморский край;2004;982.5;105;45.2
Хабаровский край ;2004;713.4;50;35.7
Амурская область;2004;423.8;50;19.3
Магаданская область;2004;94.1;9;6.1
Сахалинская область;2004;274.4;22;7.2
Еврейская автономная область;2004;81.6;7;1.5
Чукотский автономный округ;2004;36;1;1.2
Центральный федеральный округ;2005;18354.6;852;285
Белгородская область;2005;674.7;42;11.6
Брянская область;2005;604.1;44;12.5
Владимирская область;2005;713.1;73;18.1
Воронежская область;2005;1055.4;88;22.3
Ивановская область;2005;486;40;13.5
Калужская область;2005;478.7;31;4.3
Костромская область;2005;324.5;18;5.8
Курская область;2005;598.9;44;9.3
Липецкая область;2005;548.7;48;5.3
Московская область;2005;2740.2;118;41.1
Орловская область;2005;407;26;7.4
Рязанская область;2005;525.4;32;8.4
Смоленская область;2005;478.8;41;6.1
Тамбовская область;2005;506.9;48;15.8
Тверская область;2005;620.1;42;7.7
Тульская область;2005;770.9;40;8.8
Ярославская область;2005;664.2;27;12.8
г. Москва;2005;6156.8;50;74.4
Северо-Западный федеральный округ;2005;6730.5;409;164.1
Республика Карелия;2005;345.8;33;13.7
Республика Коми;2005;465.6;60;16.8
Архангельская область;2005;601.5;38;16.7
в том числе: ;2005;0;0;0
Ненецкий автономный округ;2005;27.7;2;0.9
Архангельская область без автономного округа;2005;573.9;35;15.8
Вологодская область;2005;605.7;34;12
Калининградская область;2005;443.8;33;9.3
Ленинградская область;2005;738.6;66;11
Мурманская область;2005;433.1;44;19.6
Новгородская область;2005;313.4;20;6
Псковская область;2005;336;23;11.6
г. Санкт-Петербург;2005;2447;57;47.3
Южный             федеральный округ;2005;6058;562;113.9
Республика Адыгея;2005;154;26;9.4
Республика Калмыкия;2005;116.7;27;4.6
Республика Крым;2005;0;0;0
Краснодарский край;2005;2189.4;179;21.2
Астраханская область;2005;445;61;15.1
Волгоградская область;2005;1254.3;88;23.6
Ростовская область;2005;1898.6;182;40
г. Севастополь;2005;0;0;0
Северо-Кавказский        федеральный округ;2005;2876.5;613;541.4
Республика Дагестан;2005;873.4;264;51.7
Республика Ингушетия;2005;64.8;111;53
Кабардино-Балкарская Республика;2005;310.6;91;39.5
Карачаево-Черкесская Республика;2005;162.7;29;6
Республика Северная Осетия - Алания;2005;295.8;29;18.8
Чеченская Республика;2005;…;…;341.4
Ставропольский край;2005;1169.2;89;31
Приволжский федеральный округ;2005;14453.1;1164;276.4
Республика Башкортостан;2005;1797.6;143;30.6
Республика Марий Эл;2005;334.4;38;7.2
Республика Мордовия;2005;399.1;29;7.9
Республика Татарстан;2005;1773.5;125;31.3
Удмуртская Республика;2005;764.8;64;23.9
Чувашская Республика;2005;597.5;77;13.8
Пермский край;2005;1311;113;24.3
Кировская область;2005;707.2;57;24.4
Нижегородская область ;2005;1728.9;107;16
Оренбургская область;2005;1000.5;96;9.1
Пензенская область;2005;685.4;47;11
Самарская область;2005;1579;93;30.7
