Субъект РФ;Год;Валовый региональный продукт: всего (млн. руб.);Валовый региональный продукт: на душу населения (руб.)
Северо-Западный федеральный округ;2005;1799780.2;130846.1
Республика Карелия;2005;77124.8;112950.3
Республика Коми;2005;171307.2;176075.2
Архангельская область;2005;166433.4;128965.3
в том числе: ;2005;0;0
Ненецкий автономный округ;2005;44718.3;1067007.7
Архангельская область без автономного округа;2005;0;0
Вологодская область;2005;193966.1;156379.7
Калининградская область;2005;81837.6;87122.8
Ленинградская область;2005;205416.9;122024.2
Мурманская область;2005;132870.2;156652.5
Новгородская область;2005;63848.3;95286.2
Псковская область;2005;40582.9;55772.9
г. Санкт-Петербург;2005;666392.8;141795.6
Южный             федеральный округ;2005;936055.9;67566
Республика Адыгея;2005;17029.1;38514.5
Республика Калмыкия;2005;9685.7;33017.9
Республика Крым;2005;0;0
Краснодарский край;2005;372929.8;72794.1
Астраханская область;2005;70127.6;69814
Волгоградская область;2005;203232.2;76740.6
Ростовская область;2005;263051.5;60575
г. Севастополь;2005;0;0
Северо-Кавказский        федеральный округ;2005;352070;39050.8
Республика Дагестан;2005;90442.6;33839.8
Республика Ингушетия;2005;7419.3;17435.1
Кабардино-Балкарская Республика;2005;36833.4;42253.1
Карачаево-Черкесская Республика;2005;16724.3;36971.7
Республика Северная Осетия - Алания;2005;31182.2;44127.2
Чеченская Республика;2005;22898.9;20038.4
Ставропольский край;2005;146569.3;53414.6
Приволжский федеральный округ;2005;2799035.9;91573.6
Республика Башкортостан;2005;381646.5;93683.1
Республика Марий Эл;2005;33350.7;46589.5
Республика Мордовия;2005;44267;50982.6
Республика Татарстан;2005;482759.2;128226.9
Удмуртская Республика;2005;139995.3;90316.3
Чувашская Республика;2005;69391.6;54001.9
Пермский край;2005;327273.3;119654
Кировская область;2005;79800.6;55726.6
Нижегородская область ;2005;299723.7;87354.7
Оренбургская область;2005;213138.2;101110.3
Пензенская область;2005;74362.7;52163.8
Самарская область;2005;401812.2;124575.2
Саратовская область;2005;170930.5;65656.6
Ульяновская область;2005;80584.4;59804.8
