Субъекты РФ;Год;ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ (тыс. чел);Естественный прирост населения (чел.);Миграционный прирост населения (чел.)
Республика Башкортостан;2003;4094.2;-8188.4;4503.62
Республика Марий Эл;2003;722.7;-4336.2;289.08
Республика Мордовия;2003;878.3;-7904.7;-87.83
Республика Татарстан;2003;3773.1;-3773.1;9055.44
Удмуртская Республика;2003;1561.1;-7805.5;-468.33
Чувашская Республика;2003;1301.6;-10412.8;-3254
Пермский край;2003;2783;-30613;-11132
Кировская область;2003;1472.5;-26505;-10896.5
Нижегородская область ;2003;3481.1;-34811;3829.21
Оренбургская область;2003;2149.9;-25798.8;-16339.24
Пензенская область;2003;1440;-8640;4320
Самарская область;2003;3229.2;-6458.4;14531.4
Саратовская область;2003;2639.5;-23755.5;-3167.4
Ульяновская область;2003;1366.9;-12302.1;-683.45
Уральский       федеральный округ;2003;12284.6;-73707.6;-25797.66
Курганская область;2003;999.4;-15990.4;-8794.72
Свердловская область ;2003;4434.2;-44342;-12859.18
Тюменская область;2003;3281.7;13126.8;1969.02
Ханты-Мансийский автономный округ – Югра;2003;1453.5;15988.5;5959.35
Ямало-Ненецкий автономный округ;2003;510.8;2043.2;-1838.88
Тюменская область без автономных округов;2003;1317.4;-6587;-2107.84
Челябинская область;2003;3569.3;-28554.4;-6424.74
Сибирский        федеральный округ;2003;17732;-159588;-78020.8
Республика Алтай;2003;202.5;-405;-688.5
Республика Тыва;2003;305;-610;-2165.5
Республика Хакасия;2003;541.4;-3789.8;-541.4
Алтайский край;2003;2572;-30864;-17232.4
Красноярский край;2003;2931.9;-29319;-16125.45
Иркутская область;2003;2552.3;-25523;-13527.19
Кемеровская область;2003;2862.1;-31483.1;-8872.51
Новосибирская область ;2003;2674.2;-13371;-1069.68
Омская область;2003;2052.7;-22579.7;-14163.63
Томская область;2003;1037.9;-7265.3;-3528.86
Дальневосточный федеральный округ;2003;8725.6;-87256;-58461.52
Республика Бурятия;2003;974.6;-4873;-3118.72
Республика Саха (Якутия);2003;950;950;-3230
Забайкальский край;2003;1142.7;-10284.3;-6056.31
Камчатский край;2003;350.5;-7360.5;-6834.75
Приморский край;2003;2048.6;-18437.4;-8194.4
Хабаровский край ;2003;1416.2;-18410.6;-10055.02
Амурская область;2003;887.8;-13317;-9410.68
Магаданская область;2003;178.1;-3740.1;-3472.95
Сахалинская область;2003;536.8;-8052;-5206.96
Еврейская автономная область;2003;188.4;-2072.4;-1394.16
Чукотский автономный округ;2003;51.9;-1193.7;-1302.69
Центральный федеральный округ;2004;38044;76088;395657.6
Белгородская область;2004;1511.7;-1511.7;8465.52
Брянская область;2004;1344.1;-16129.2;-2822.61
Владимирская область;2004;1497.6;-11980.8;4193.28
Воронежская область;2004;2364.9;-2364.9;20811.12
Ивановская область;2004;1116.7;-14517.1;-111.67
Калужская область;2004;1027.6;-4110.4;5651.8
Костромская область;2004;712;-10680;-3061.6
Курская область;2004;1195.8;-16741.2;-4902.78
Липецкая область;2004;1198.6;-7191.6;4195.1
Московская область;2004;6736.7;67367;121934.27
Орловская область;2004;835.2;-11692.8;-3841.92
Рязанская область;2004;1199.4;-10794.6;3118.44
