Субъект РФ;Год;Оборот розничной торговли (млн. руб.);Объем платных услуг населению (млн. руб.)
Пензенская область;2004;32230.9178;10097.508
Самарская область;2004;182204.46;41200.8955
Саратовская область;2004;67219.467;17891.8008
Ульяновская область;2004;34258.08;11198.5917
Уральский         федеральный округ;2004;493155.9901;143968.1517
Курганская область;2004;23283.593;5892.7259
Свердловская область ;2004;179044.917;53661.8585
Тюменская область;2004;186292.594;54515.0555
в том числе:;2004;0;0
Ханты-Мансийский автономный округ - Югра;2004;98850.434;27826.3314
Ямало-Ненецкий автономный округ;2004;34896.182;11038.7574
Тюменская область  без автономных округов;2004;0;0
Челябинская область;2004;104534.8861;29898.5118
Сибирский        федеральный округ;2004;653543.5742;173801.005
Республика Алтай;2004;3351.858;733.8116
Республика Тыва;2004;4501.434;1093.2762
Республика Хакасия;2004;10756.5554;4554.7564
Алтайский край;2004;66261.173;16141.4789
Красноярский край;2004;105790.2572;35742.0893
Иркутская область;2004;83554.608;25211.5984
Кемеровская область;2004;110583.57;22836.3386
Новосибирская область ;2004;104233.933;33694.988
Омская область;2004;66507.5159;18410.0326
Томская область;2004;36714.384;15382.635
Дальневосточный федеральный округ;2004;232339.6658;117130
Республика Бурятия;2004;27744.9937;6189.3179
Республика Саха (Якутия);2004;45112.536;16354.1093
Забайкальский край;2004;33543.292;7251.5601
Камчатский край;2004;12327.381;5587.7441
Приморский край;2004;64628.4941;27730.1824
Хабаровский край ;2004;48356.519;29669.1766
Амурская область;2004;23591.607;7766.7467
Магаданская область;2004;5954.39;3630.2072
Сахалинская область;2004;24400.2845;10738.8683
Еврейская автономная область;2004;5835.87;1163.6277
Чукотский автономный округ;2004;2132.5842;1048.317
Центральный федеральный округ;2005;2600704.7;858523.5576
Белгородская область;2005;45614.2;13640.5652
Брянская область;2005;38596.9;13746.7882
Владимирская область;2005;31541.3;13991.7698
Воронежская область;2005;83280.1;21107.7538
Ивановская область;2005;21148.2;9990.2466
Калужская область;2005;39276;10549.2869
Костромская область;2005;18668.7;5523.6883
Курская область;2005;37071.3;10818.9623
Липецкая область;2005;42015.3;11541.0419
Московская область;2005;369929.1;108058.4965
Орловская область;2005;26082.8;7524.4211
Рязанская область;2005;36305.5;10700.2202
Смоленская область;2005;39033.3;9060.2235
Тамбовская область;2005;38831.9;10680.2222
Тверская область;2005;58500.6;16451.2328
Тульская область;2005;48490.1;16967.1996
Ярославская область;2005;40235.7;17239.4449
г. Москва;2005;1586083.7;550931.9938
Северо-Западный федеральный округ;2005;674299.7;250966.0326
Республика Карелия;2005;28832.3;9029.3998
Республика Коми;2005;68273.2;16507.9639
Архангельская область;2005;53824;18065.9259
в том числе: ;2005;0;0
Ненецкий автономный округ;2005;2139.8;325.4124
Архангельская область без автономного округа;2005;0;0
Вологодская область;2005;35473.2;15945.1365
Калининградская область;2005;36531.2;12040.7084
Ленинградская область;2005;62653;14822.6738
Мурманская область;2005;45643.3;22941.4944
Новгородская область;2005;22317;8072.0865
Псковская область;2005;28248.1;7173.4455
г. Санкт-Петербург;2005;292504.4;126367.1979
Южный             федеральный округ;2005;559262.5;171113.1575
Республика Адыгея;2005;11110.7;3145.4972
Республика Калмыкия;2005;3878;1152.2687
Республика Крым;2005;0;0
Краснодарский край;2005;214120.8;74197.4774
Астраханская область;2005;32864;10761.3734
Волгоградская область;2005;101535.5;32539.4373
Ростовская область;2005;195753.5;49317.1035
г. Севастополь;2005;0;0
Северо-Кавказский        федеральный округ;2005;251639.0356;72494.1029
Республика Дагестан;2005;82148.3;19384.3612
Республика Ингушетия;2005;3357.9356;1094.2757
Кабардино-Балкарская Республика;2005;23435.4;6790.4643
Карачаево-Черкесская Республика;2005;12510.2;3046.7953
Республика Северная Осетия - Алания;2005;17104.8;6868.8947
Чеченская Республика;2005;11704.3;0
Ставропольский край;2005;101378.1;35309.3117
Приволжский федеральный округ;2005;1190814.3;363144.3683
Республика Башкортостан;2005;177376.8;59692.3507
Республика Марий Эл;2005;13952.7;5496.6864
Республика Мордовия;2005;18617.7;5828.3026
Республика Татарстан;2005;161441;54914.6446
Удмуртская Республика;2005;39088.9;15101.8792
Чувашская Республика;2005;29806.2;12628.022
Пермский край;2005;130236.3;39333.2037
Кировская область;2005;36334;13825.0992
Нижегородская область ;2005;139956.9;34160.3076
Оренбургская область;2005;54408.7;19634.1663
Пензенская область;2005;40254.3;13032.6068
Самарская область;2005;225857.5;52534.2347
Саратовская область;2005;82852.4;22987.2357
Ульяновская область;2005;40630.9;13975.6288
Уральский         федеральный округ;2005;656692.2;183325.013
Курганская область;2005;29271.3;7192.6448
Свердловская область ;2005;236855.1;68645.9128
Тюменская область;2005;243614;66477.9009
в том числе:;2005;0;0
Ханты-Мансийский автономный округ - Югра;2005;128935.1;33351.6406
Ямало-Ненецкий автономный округ;2005;47788.4;14000.6519
Тюменская область  без автономных округов;2005;0;0
Челябинская область;2005;146951.8;41008.5545
Сибирский        федеральный округ;2005;820481.2;220423.4368
Республика Алтай;2005;3960.9;1011.1862
Республика Тыва;2005;5598.1;1416.1502
Республика Хакасия;2005;12240.7;5821.1212
Алтайский край;2005;82057;22933.9554
Красноярский край;2005;126622.7;42926.3823
Иркутская область;2005;104303.8;29945.8534
Кемеровская область;2005;140904.3;28858.4912
Новосибирская область ;2005;139864.1;43943.9094
Омская область;2005;83375;24106.6646
Томская область;2005;46731;19459.7229
Дальневосточный федеральный округ;2005;287615.5;151743
Республика Бурятия;2005;35339.8;8930.3647
Республика Саха (Якутия);2005;52313;20834.1024
Забайкальский край;2005;39483.8;9396.3196
Камчатский край;2005;14422.2;6813.6177
Приморский край;2005;84077.1;35135.989
Хабаровский край ;2005;60479.8;38344.4882
Амурская область;2005;28480.7;10674.4726
Магаданская область;2005;7047.7;4083.4317
Сахалинская область;2005;31441.6;14385.3709
Еврейская автономная область;2005;7196.1;1754.0356
Чукотский автономный округ;2005;2157.3;1390.8813
Центральный федеральный округ;2006;3119361.8;1047659.029
Белгородская область;2006;62615.6;17408.6224
Брянская область;2006;48755.9;17107.4109
Владимирская область;2006;44018.7;17835.4731
Воронежская область;2006;93569.4;26666.5929
Ивановская область;2006;29381.1;11742.27
Калужская область;2006;49220.4;13593.0742
Костромская область;2006;23401.1;6987.0373
Курская область;2006;48814;15210.8093
Липецкая область;2006;53123.8;14964.6759
Московская область;2006;495547.8;136295.0239
Орловская область;2006;29415.3;8666.1694
Рязанская область;2006;44547.9;13208.0396
Смоленская область;2006;46880.6;11150.7326
Тамбовская область;2006;48268.5;12996.5956
Тверская область;2006;70216.2;20179.8175
Тульская область;2006;61144.2;21101.2649
Ярославская область;2006;52670.5;23347.7427
г. Москва;2006;1817770.8;659197.6768
Северо-Западный федеральный округ;2006;821299.6;307870.9445
Республика Карелия;2006;34827.3;10907.0243
Республика Коми;2006;82143.7;20394.8159
Архангельская область;2006;64708.2;23669.7907
в том числе: ;2006;0;0
Ненецкий автономный округ;2006;2650.4;544.4421
Архангельская область без автономного округа;2006;0;0
Вологодская область;2006;44860.4;20545.085
Калининградская область;2006;44554.5;15813.6425
Ленинградская область;2006;79165.6;18488.2538
Мурманская область;2006;53115.3;27716.6251
Новгородская область;2006;27390.7;9757.6371
Псковская область;2006;33161.2;9117.2651
г. Санкт-Петербург;2006;357372.7;151460.805
Южный             федеральный округ;2006;692318.8;213181.2238
Республика Адыгея;2006;13089.4;3367.8713
Республика Калмыкия;2006;5174.9;1790.1898
Республика Крым;2006;0;0
Краснодарский край;2006;274692.5;87158.6845
Астраханская область;2006;42087.5;13215.7943
Волгоградская область;2006;117868;45612.3164
Ростовская область;2006;239406.5;62036.3675
