Субъект РФ;Год;Продукция сельского хозяйства (млн. руб.)
г. Санкт-Петербург;2007;0
Южный             федеральный округ;2007;280583
Республика Адыгея;2007;7851.5
Республика Калмыкия;2007;8056.8
Республика Крым;2007;0
Краснодарский край;2007;128007.5
Астраханская область;2007;11261.4
Волгоградская область;2007;51036.4
Ростовская область;2007;74368.9
г. Севастополь;2007;0
Северо-Кавказский        федеральный округ;2007;144637.4
Республика Дагестан;2007;32273.4
Республика Ингушетия;2007;2372.1
Кабардино-Балкарская Республика;2007;16640.3
Карачаево-Черкесская Республика;2007;9475.6
Республика Северная Осетия - Алания;2007;9985.5
Чеченская Республика;2007;6938.8
Ставропольский край;2007;66951.7
Приволжский федеральный округ;2007;480806.1
Республика Башкортостан;2007;80480.7
Республика Марий Эл;2007;12120.4
Республика Мордовия;2007;22125.7
Республика Татарстан;2007;90724
Удмуртская Республика;2007;24426.7
Чувашская Республика;2007;16150
Пермский край;2007;19696.8
Кировская область;2007;17005.4
Нижегородская область ;2007;32110.5
Оренбургская область;2007;44921.2
Пензенская область;2007;21300.7
Самарская область;2007;33275.9
Саратовская область;2007;51951
Ульяновская область;2007;14517.1
Уральский         федеральный округ;2007;129904
Курганская область;2007;16873.2
Свердловская область ;2007;30851.6
Тюменская область;2007;33509.1
в том числе:;2007;0
Ханты-Мансийский автономный округ - Югра;2007;3233.3
Ямало-Ненецкий автономный округ;2007;887.8
Тюменская область  без автономных округов;2007;29388
Челябинская область;2007;48670.1
Сибирский        федеральный округ;2007;252631.8
Республика Алтай;2007;4485
Республика Тыва;2007;2876.1
Республика Хакасия;2007;5562.9
Алтайский край;2007;56142.3
Красноярский край;2007;42733.2
Иркутская область;2007;25942.8
Кемеровская область;2007;24295.2
Новосибирская область ;2007;33995.4
Омская область;2007;44701.5
Томская область;2007;11897.4
Дальневосточный федеральный округ;2007;79114.2
Республика Бурятия;2007;9313.8
Республика Саха (Якутия);2007;13444.9
Забайкальский край;2007;10437.4
Камчатский край;2007;2708.8
Приморский край;2007;12070.8
Хабаровский край ;2007;8968.9
Амурская область;2007;12296.2
Магаданская область;2007;965.6
Сахалинская область;2007;4790.7
Еврейская автономная область;2007;3650.5
Чукотский автономный округ;2007;466.6
Центральный федеральный округ;2008;516545.9
Белгородская область;2008;78371.6
Брянская область;2008;20827.9
Владимирская область;2008;18018.9
Воронежская область;2008;67376.5
Ивановская область;2008;8619.9
Калужская область;2008;17775.3
Костромская область;2008;11283.8
Курская область;2008;39650
Липецкая область;2008;38885.5
Московская область;2008;60950.6
Орловская область;2008;24662.4
Рязанская область;2008;25799.1
Смоленская область;2008;12338.1
